"Plot Title: TB13-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401762, SEN S/N: 2401762, LBL: TEMPERATURE)","Intensity, Lux (LGR S/N: 2401762, SEN S/N: 2401762, LBL: LIGHT INTENSITY)","End Of File (LGR S/N: 2401762)"
408,11/12/15 10:00:00 AM,3.155,129.2,
409,11/12/15 01:00:00 PM,3.998,53.8,
410,11/12/15 04:00:00 PM,3.788,21.5,
411,11/12/15 07:00:00 PM,3.893,0.0,
412,11/12/15 10:00:00 PM,3.788,0.0,
413,11/13/15 01:00:00 AM,4.727,0.0,
414,11/13/15 04:00:00 AM,6.268,0.0,
415,11/13/15 07:00:00 AM,7.381,0.0,
416,11/13/15 10:00:00 AM,7.983,10.8,
417,11/13/15 01:00:00 PM,8.680,43.1,
418,11/13/15 04:00:00 PM,8.879,10.8,
419,11/13/15 07:00:00 PM,8.978,0.0,
420,11/13/15 10:00:00 PM,9.077,0.0,
421,11/14/15 01:00:00 AM,8.978,0.0,
422,11/14/15 04:00:00 AM,8.879,0.0,
423,11/14/15 07:00:00 AM,8.182,0.0,
424,11/14/15 10:00:00 AM,7.582,32.3,
425,11/14/15 01:00:00 PM,8.978,64.6,
426,11/14/15 04:00:00 PM,8.879,21.5,
427,11/14/15 07:00:00 PM,8.581,0.0,
428,11/14/15 10:00:00 PM,8.481,0.0,
429,11/15/15 01:00:00 AM,8.282,0.0,
430,11/15/15 04:00:00 AM,8.082,0.0,
431,11/15/15 07:00:00 AM,2.730,0.0,
432,11/15/15 10:00:00 AM,2.303,43.1,
433,11/15/15 01:00:00 PM,3.472,312.2,
434,11/15/15 04:00:00 PM,3.155,75.3,
435,11/15/15 07:00:00 PM,1.656,0.0,
436,11/15/15 10:00:00 PM,1.764,0.0,
437,11/16/15 01:00:00 AM,1.764,0.0,
438,11/16/15 04:00:00 AM,1.980,0.0,
439,11/16/15 07:00:00 AM,1.980,0.0,
440,11/16/15 10:00:00 AM,2.088,53.8,
441,11/16/15 01:00:00 PM,2.730,96.9,
442,11/16/15 04:00:00 PM,2.943,21.5,
443,11/16/15 07:00:00 PM,2.837,0.0,
444,11/16/15 10:00:00 PM,2.195,0.0,
445,11/17/15 01:00:00 AM,2.517,0.0,
446,11/17/15 04:00:00 AM,3.367,0.0,
447,11/17/15 07:00:00 AM,6.573,0.0,
448,11/17/15 10:00:00 AM,8.382,0.0,
449,11/17/15 01:00:00 PM,8.680,0.0,
450,11/17/15 04:00:00 PM,9.669,0.0,
451,11/17/15 07:00:00 PM,7.481,0.0,
452,11/17/15 10:00:00 PM,4.415,0.0,
453,11/18/15 01:00:00 AM,3.578,0.0,
454,11/18/15 04:00:00 AM,3.367,0.0,
455,11/18/15 07:00:00 AM,3.261,0.0,
456,11/18/15 10:00:00 AM,2.943,53.8,
457,11/18/15 01:00:00 PM,4.207,247.6,
458,11/18/15 04:00:00 PM,3.578,53.8,
459,11/18/15 07:00:00 PM,3.472,0.0,
460,11/18/15 10:00:00 PM,3.155,0.0,
461,11/19/15 01:00:00 AM,3.049,0.0,
462,11/19/15 04:00:00 AM,2.730,0.0,
463,11/19/15 07:00:00 AM,2.943,0.0,
464,11/19/15 10:00:00 AM,3.261,75.3,
465,11/19/15 01:00:00 PM,4.102,139.9,
466,11/19/15 04:00:00 PM,3.893,53.8,
467,11/19/15 07:00:00 PM,3.578,0.0,
468,11/19/15 10:00:00 PM,3.049,0.0,
469,11/20/15 01:00:00 AM,2.517,0.0,
470,11/20/15 04:00:00 AM,2.195,0.0,
471,11/20/15 07:00:00 AM,1.548,0.0,
472,11/20/15 10:00:00 AM,1.548,64.6,
473,11/20/15 01:00:00 PM,2.517,258.3,
474,11/20/15 04:00:00 PM,3.049,75.3,
475,11/20/15 07:00:00 PM,1.764,0.0,
476,11/20/15 10:00:00 PM,1.439,0.0,
477,11/21/15 01:00:00 AM,1.112,0.0,
478,11/21/15 04:00:00 AM,1.003,0.0,
479,11/21/15 07:00:00 AM,0.893,0.0,
480,11/21/15 10:00:00 AM,1.112,53.8,
481,11/21/15 01:00:00 PM,2.517,269.1,
482,11/21/15 04:00:00 PM,3.788,86.1,
483,11/21/15 07:00:00 PM,3.155,0.0,
484,11/21/15 10:00:00 PM,2.730,0.0,
485,11/22/15 01:00:00 AM,3.049,0.0,
486,11/22/15 04:00:00 AM,3.155,0.0,
487,11/22/15 07:00:00 AM,3.261,0.0,
488,11/22/15 10:00:00 AM,3.367,53.8,
489,11/22/15 01:00:00 PM,6.978,312.2,
490,11/22/15 04:00:00 PM,6.370,86.1,
491,11/22/15 07:00:00 PM,5.037,0.0,
492,11/22/15 10:00:00 PM,4.727,0.0,
493,11/23/15 01:00:00 AM,4.415,0.0,
494,11/23/15 04:00:00 AM,4.415,0.0,
495,11/23/15 07:00:00 AM,4.311,0.0,
496,11/23/15 10:00:00 AM,4.934,21.5,
497,11/23/15 01:00:00 PM,7.582,441.3,
498,11/23/15 04:00:00 PM,5.962,10.8,
499,11/23/15 07:00:00 PM,4.727,0.0,
